la,lo,s
"41.133","16.783","162700"
"40.917","12.95","162800"
"40.85","14.3","162890"
"40.9","14.3","162894"
"40.017","15.283","163100"
"40.767","16.933","163120"
"40.65","17.95","163200"
"40.517","17.4","163240"
"40.433","16.883","163250"
"40.233","18.15","163320"
"39.333","16.4","163440"
"39","17.067","163500"
"39.817","18.35","163600"
"38.9","16.25","163620"
"38.7","13.183","164000"
"38.183","13.1","164050"
"38.1","13.3","164100"
"38.2","15.55","164200"
"38.067","15.65","164220"
"37.917","12.5","164290"
"45.667","9.7","164300"
"37.567","14.283","164500"
"37.083","14.217","164530"
"37.4","14.917","164590"
"37.4","14.917","164594"
"37.467","15.05","164600"
"36.817","11.967","164700"
"36.683","15.133","164800"
"35.5","12.6","164900"
"41.117","8.317","165020"
"41.217","9.4","165060"
"40.633","8.283","165200"
"40.567","8.167","165220"
"40.9","9.517","165310"
"39.75","8.467","165390"
"39.35","8.967","165460"
"39.933","9.717","165500"
"39.25","9.067","165600"
"39.1","9.517","165640"
"35.85","14.483","165970"
"40.517","22.967","166220"
"40.983","24.6","166240"
"40.85","25.917","166270"
"39.617","19.917","166410"
"37.017","25.133","166421"
"38.617","20.767","166430"
"39.917","25.233","166500"
"39.933","25.25","166510"
"39.217","22.8","166650"
"39.067","26.6","166670"
"38.9","22.4","166750"
"37.917","21.283","166820"
"38.633","24.1","166830"
"38.967","24.483","166840"
"38.117","20.5","166850"
"38.15","21.417","166870"
"38.317","23.533","166990"
"38.333","26.133","167060"
"37.9","23.733","167160"
"37.933","23.95","167161"
"38.067","23.55","167180"
"37.75","20.883","167193"
"37.7","26.917","167230"
"37.067","22.017","167260"
"37.433","25.35","167263"
"37.417","24.95","167264"
"37.1","25.383","167320"
"36.833","21.7","167340"
"36.717","24.45","167380"
"36.783","27.067","167420"
"36.283","23.017","167430"
"36.4","25.467","167443"
"35.483","24.117","167460"
"35.533","24.15","167464"
"36.4","28.083","167490"
"36.383","28.117","167494"
"35.333","25.183","167540"
"35.417","27.133","167543"
"41.45","31.8","170220"
"41.983","33.783","170240"
"42.033","35.167","170260"
"41.283","36.3","170300"
"41.25","36.55","170310"
"40.917","38.383","170340"
"41","39.717","170380"
"41.4","41.433","170420"
"41.667","26.567","170500"
"40.983","27.55","170560"
"41.133","27.917","170575"
"40.967","28.817","170600"
"37","35.433","170660"
"40.667","29.833","170670"
"38.767","34.533","170671"
"40.25","29.55","170672"
"41.25","36.567","170673"
"40.9","29.3","170674"
"40.733","31.6","170700"
"40.85","35.583","170820"
"40.55","34.95","170840"
"40.3","36.567","170860"
"40.467","39.467","170880"
"39.75","37.017","170900"
"39.7","39.517","170920"
"39.95","41.167","170960"
"40.55","43.083","170980"
"40.183","25.9","171100"
"40.133","26.4","171120"
"40.317","27.967","171150"
"40.183","29.067","171160"
"40.15","29.967","171200"
"39.783","30.567","171240"
"40.067","32.567","171270"
"40.117","33","171280"
"39.95","32.683","171290"
"39.933","32.732","171295"
"39.85","33.517","171350"
"39.817","34.8","171400"
"39.617","27.917","171500"
"39.417","29.967","171550"
"39.15","34.167","171600"
"38.45","43.317","171700"
"39.3","26.7","171750"
"39.067","26.883","171800"
"38.917","27.85","171840"
"38.683","29.4","171880"
"38.733","30.6","171890"
"38.75","30.533","171900"
"38.733","30.6","171905"
"38.817","35.433","171950"
"38.35","38.317","171990"
"38.433","38.083","172000"
"40.733","30.083","172005"
"38.6","39.283","172020"
"38.483","42.3","172050"
"37.933","41.95","172100"
"38.517","27.017","172180"
"38.267","27.15","172190"
"37.85","27.85","172340"
"37.783","29.083","172370"
"37.75","30.55","172400"
"37.85","30.367","172410"
"37.967","32.549","172440"
"37.5","34.05","172480"
"37.967","34.683","172500"
"37.083","37.367","172600"
"37.133","38.767","172700"
"37.1","38.85","172720"
"37.25","27.667","172734"
"37.883","40.183","172800"
"37.033","27.433","172900"
"37.217","28.367","172920"
"36.7","28.783","172950"
"36.867","30.733","173000"
"36.55","32","173100"
"36.083","32.833","173200"
"36.383","33.933","173300"
"37","35.417","173500"
"36.983","35.3","173520"
"36.583","36.167","173700"
"36.3","30.15","173750"
"35.2","32.983","175000"
"35.25","33.733","175150"
"35.133","33.517","175210"
"35.133","33.95","175400"
"34.717","32.482","176000"
"34.583","32.983","176010"
"34.583","32.983","176060"
"35.15","33.5","176074"
"34.883","33.633","176090"
"80.167","36.75","200260"
"80.817","47.417","200340"
"80.617","58.05","200460"
"80.367","52.917","200490"
"80.833","79.7","200660"
"79.5","76.983","200690"
"79.55","90.617","200870"
"79.383","102.417","200970"
"78.067","14.25","201070"
"78.617","98.7","201860"
"77.5","82.2","202740"
"77.283","89.667","202770"
"77.183","96.583","202890"
"78.233","103.117","202910"
"77.717","104.3","202920"
"77.617","101.483","202940"
"76.85","68.55","203530"
"76.183","63.567","203570"
"76.283","94.733","203880"
"75.917","83.25","204710"
"75.417","88.9","204760"
"74.5","102.5","205940"
"73.5","76","206650"
"73.333","70.05","206670"
"73.5","80.4","206740"
"73.683","85.25","206750"
"72.367","52.7","207440"
"72.333","79.5","207660"
"71.4","67.633","208560"
"71.983","75.4","208620"
"71.483","71.817","208640"
"71.9","82.717","208710"
"71.983","102.467","208910"
"70.717","57.617","209430"
"70.45","59.067","209460"
"70.883","78.5","209630"
"70.35","74.133","209640"
"70.167","72.517","209670"
"70.85","89.883","209730"
"76.8","110.833","213010"
"76.15","152.833","213580"
"75.533","113.517","214050"
"76","137.867","214320"
"74.667","112.933","215040"
"74.5","140","215350"
"74.117","135.867","215370"
"74.883","142.2","215410"
"73.567","118.75","216110"
"73.9","124.6","216130"
"73.167","128.833","216270"
"73.333","139.917","216360"
"73.183","143.233","216470"
"72.967","119.7","217110"
"72.967","121.667","217120"
"72.417","126.5","217210"
"72.867","140.75","217330"
"71.967","114.083","218020"
"62.1","129.767","218230"
"71.583","128.917","218240"
"66.4","112.017","218241"
"71.533","129.917","218250"
"71.5","132.667","218260"
"71.5","136.583","218350"
"71.017","149","218490"
"70.133","113.967","219080"
"70.817","133.5","219230"
"70.767","136.217","219310"
"70.617","147.883","219460"
"70.55","154.15","219550"
"70.633","162.483","219650"
"70.983","-178.483","219820"
"69.2","35.117","220280"
"68.6","31.85","221060"
"68.967","33.05","221130"
"68","35.033","221270"
"68.367","38.65","221450"
"68.65","43.3","221650"
"67.15","32.35","222170"
"67.35","37.05","222350"
"67.15","43.9","222690"
"67.883","44.133","222710"
"67.8","46.667","222820"
"67.683","48.683","222920"
"66.683","34.35","223240"
"66.183","39.533","223490"
"66.383","43.25","223650"
"65.883","31.833","224030"
"65.217","31.167","224080"
"65.9","34.767","224220"
"65.2","36.817","224380"
"65.867","44.217","224710"
"64.95","34.65","225220"
"64.55","40.583","225500"
"64.7","43.383","225630"
"64.75","47.65","225830"
"63.833","30.817","226020"
"63.767","34.283","226210"
"63.9","38.117","226410"
"63.067","40.35","226570"
"63.583","45.633","226760"
"63.45","48.9","226950"
"62.917","34.433","227210"
"62.1","42.9","227680"
"62.233","45.017","227780"
"62.167","49.117","227980"
"61.717","30.717","228020"
"61.817","34.267","228200"
"61.017","36.45","228370"
"61.5","38.933","228450"
"61.667","40.183","228540"
"61.083","42.067","228670"
"61.233","46.717","228870"
"60.717","28.733","228920"
"60.033","37.783","229390"
"60.467","40.2","229540"
"60.367","49.65","229960"
"69.75","61.7","230220"
"69.483","60.333","230240"
"69.25","64.983","230290"
"69.717","66.8","230320"
"69.083","76.85","230580"
"69.4","86.167","230740"
"59.15","68.917","230770"
"69.333","88.1","230780"
"68.583","52.333","231050"
"68.85","61.183","231210"
"68.467","73.6","231460"
"68.2","90.033","231790"
"67.633","53.033","232050"
"67.083","59.383","232190"
"66.583","66.6","232201"
"62.183","74.533","232203"
"57.183","65.316","232204"
"63.55","53.817","232205"
"67.483","64.016","232260"
"67.683","72.867","232420"
"67.467","78.733","232560"
"67.467","86.567","232740"
"66.533","66.667","233300"
"66.9","65.667","233310"
"66.8","68.883","233330"
"66.05","68.683","233390"
"66.833","70.833","233410"
"66.6","72.9","233450"
"65.433","52.267","234050"
"65.967","56.917","234120"
"65.117","57.1","234180"
"65.382","64.717","234260"
"65.85","65.967","234310"
"65.467","72.667","234450"
"65.683","82.467","234650"
"65.867","86.217","234710"
"65.783","87.933","234720"
"64.283","60.883","235270"
"64.917","77.817","235520"
"64.25","87.6","235780"
"63.55","53.817","236060"
"63.2","64.483","236290"
"63.933","65.05","236310"
"63.717","66.7","236320"
"63.983","82.083","236620"
"63.15","87.95","236780"
"62.983","50.9","237010"
"62.7","56.2","237110"
"62.433","60.867","237240"
"62.45","66.05","237340"
"62.333","89.25","237760"
"61.683","53.683","238030"
"61.683","50.783","238040"
"61.967","64.3","238230"
"61.8","74.083","238430"
"61.317","71.267","238470"
"61.25","73.5","238490"
"61.6","90.017","238840"
"60.283","54.35","239090"
"60.4","56.517","239140"
"60.683","60.45","239210"
"60.317","64.217","239290"
"61.017","69.033","239330"
"60.95","76.483","239331"
"60.433","77.867","239550"
"60.35","84.083","239660"
"61.033","89.633","239730"
"60.25","90.233","239870"
"69.917","125.033","240510"
"68.5","112.433","241250"
"68.733","124","241430"
"68.45","134.8","241660"
"67.55","133.383","242660"
"66.767","123.4","243430"
"66.5","149.783","243960"
"65.25","135.9","244770"
"64.266","100.233","245070"
"64.2","126.617","245570"
"63.283","118.333","246390"
"63.767","121.617","246410"
"63.967","127.467","246520"
"63.517","129.483","246560"
"63.95","135.867","246710"
"63.033","112.5","247240"
"62.533","113.867","247260"
"62.15","117.65","247380"
"62.783","136.8","247710"
"62.533","149.633","247960"
"61.267","108.017","248170"
"61.433","114.35","248260"
"61.483","129.15","248560"
"61.883","147.35","248910"
"60.717","114.883","249230"
"60.4","120.417","249440"
"60.6","124.033","249460"
"60.817","125.317","249510"
"62.017","129.717","249590"
"60.383","134.45","249660"
"60.717","142.783","249820"
"60.083","142.333","249880"
"69.617","162.3","250340"
"69.833","168.667","250420"
"69.483","166.55","250440"
"69.7","170.283","250510"
"69.75","170.6","250520"
"69.883","175.767","250620"
"68.733","158.733","251210"
"68.75","161.283","251230"
"68.9","-179.367","251730"
"67.45","153.717","252060"
"67.833","-175.833","252820"
"66.833","-174.5","252860"
"66.55","159.417","253250"
"67.033","-178.917","253720"
"66.35","-179.117","253780"
"66.933","-171.833","253920"
"66.167","-169.833","253990"
"65.733","150.9","254000"
"65.55","-171.033","254960"
"64.217","164.233","255380"
"64.683","170.417","255510"
"64.783","177.567","255630"
"64.417","-173.233","255940"
"64","158.917","256210"
"63.05","179.317","256770"
"62.45","152.317","257050"
"62.433","166.083","257440"
"62.067","175.3","257670"
"62.417","179.133","257770"
"61.95","158.967","258210"
"61.95","160.367","258220"
"60.85","151.767","259020"
"59.917","150.717","259120"
"59.55","150.783","259130"
"59.483","150.5","259140"
"59.583","151.3","259150"
"59.583","154.15","259160"
"59","150.467","259170"
"59.2","152.35","259190"
"60.933","155.917","259220"
"59.65","154.267","259270"
"60.683","160.4","259320"
"60.867","163.633","259410"
"60.35","166","259540"
"60.433","169.667","259560"
"59.467","24.817","260380"
"59.517","26.533","260450"
"59.367","28.117","260580"
"59.367","28.6","260590"
"59.967","30.3","260630"
"59.967","30.3","260635"
"59.967","30.3","260636"
"59.35","31.233","260780"
"59.65","33.55","260940"
"53.883","28.033","261148"
"58.917","22.067","261150"
"58.817","25.417","261350"
"59.133","26.233","261410"
"58.567","29.8","261670"
"58.233","22.5","262150"
"57.867","24.367","262290"
"58.367","24.5","262310"
"58.3","26.733","262420"
"57.783","26.033","262470"
"57.817","28.417","262580"
"58.017","31.317","262750"
"57.967","33.233","262890"
"57.9","34.05","262980"
"57.75","22.6","263130"
"57.4","21.533","263140"
"57.35","23.117","263240"
"57.433","27.033","263460"
"57.133","26.717","263480"
"57.017","28.9","263590"
"57.15","31.183","263780"
"57.133","33.117","263890"
"57.35","21.533","264050"
"56.483","21.017","264060"
"56.683","22.5","264160"
"56.967","24.05","264220"
"56.917","23.967","264225"
"56.533","27.267","264460"
"56.35","30.617","264770"
"56.267","32.083","264870"
"56.267","34.317","264980"
"56.5","34.933","264990"
"55.967","21.1","265020"
"55.883","23.383","265021"
"55.733","21.067","265090"
"55.617","22.233","265180"
"55.933","23.317","265240"
"55.75","24.383","265290"
"56.2","24.767","265310"
"55.867","26.617","265440"
"55.817","27.95","265540"
"55.85","32.95","265850"
"55.35","21.467","266000"
"55.383","23.117","266210"
"54.883","23.833","266290"
"54.967","24.083","266295"
"55.533","25.6","266330"
"55.05","26.317","266450"
"54.883","28.7","266590"
"55.167","30.217","266660"
"55.167","34.4","266950"
"-3.317","29.317","266970"
"54.717","20.55","267020"
"54.633","22.783","267130"
"54.633","25.283","267300"
"54.25","24.55","267370"
"54.5","30.417","267630"
"54.75","32.067","267810"
"53.6","24.05","268250"
"53.85","25.317","268320"
"53.933","27.633","268500"
"53.95","30.067","268630"
"53.933","32.833","268820"
"53.35","32.067","268870"
"53.25","34.317","268980"
"53.117","26","269410"
"53.033","27.55","269510"
"53.217","29.183","269610"
"52.583","33.767","269970"
"59.4","35.933","270080"
"59.317","39.917","270370"
"59.883","42.75","270510"
"59.533","45.467","270660"
"59.85","48.283","270830"
"59.25","37.967","271130"
"58.65","49.617","271960"
"58.6","49.633","271990"
"57.8","35.883","272080"
"57.8","36.7","272170"
"58.1","38.683","272250"
"58.483","41.533","272420"
"58.35","43.383","272520"
"58.367","45.533","272710"
"57.2","39.417","273290"
"57.333","43.117","273550"
"57.133","45.167","273690"
"57.667","46.633","273730"
"57.55","49.95","273930"
"56.9","35.883","274020"
"56.267","44","274590"
"56.333","46.583","274790"
"55.967","37.417","275155"
"55.583","37.25","275185"
"55.65","39.567","275195"
"56.117","40.35","275320"
"56.217","43.817","275530"
"55.6","49.283","275950"
"55.567","52.083","276070"
"55.833","37.617","276120"
"54.95","41.767","276480"
"55.033","44.5","276650"
"54.817","46.583","276790"
"54.567","36.4","277030"
"54.1","35.583","277070"
"54.233","37.617","277190"
"54.633","39.7","277300"
"54.617","39.717","277310"
"54.317","48.333","277860"
"53.783","39.25","278230"
"53.717","40.117","278350"
"53.483","42.633","278570"
"52.933","36","279060"
"52.633","38.517","279280"
"52.8","41.333","279470"
"53.117","45.017","279620"
"53.183","48.4","279830"
"59.367","52.217","280090"
"59.6","60.533","280440"
"59.433","62.333","280490"
"59.617","65.717","280640"
"59.667","67.417","280660"
"59.6","69.283","280760"
"59.467","73.367","280970"
"58.983","54.65","281160"
"59.033","57.567","281310"
"58.867","60.783","281440"
"59.15","68.917","281720"
"58.133","52.583","282140"
"58.083","54.683","282160"
"58.017","56.3","282240"
"57.95","56.2","282250"
"57.883","60.067","282400"
"58.05","63.683","282550"
"58.15","68.25","282750"
"57.917","69.033","282780"
"57.083","54.75","283190"
"57.717","55.383","283210"
"57.35","58.217","283340"
"57.433","67.083","283660"
"57.117","65.433","283670"
"57.717","57.683","283820"
"57.517","72.4","283830"
"57.367","74.75","283960"
"56.833","53.45","284110"
"56.267","54.9","284190"
"56.5","56.133","284280"
"56.65","57.783","284340"
"56.833","60.633","284400"
"56.85","62.717","284510"
"56.683","66.35","284650"
"56.483","67.3","284690"
"56.817","70.617","284810"
"56.933","72.667","284910"
"56.9","74.383","284930"
"56.167","92.517","284935"
"56.45","73.65","284980"
"55.767","52.067","285060"
"56.083","56.583","285220"
"55.7","57.9","285370"
"56.083","60.3","285410"
"56.067","63.65","285520"
"56.1","69.433","285730"
"55.867","72.2","285860"
"55.567","71.367","285880"
"56.1","74.633","285930"
"55.6","73.483","285980"
"55.183","53.8","286150"
"55.417","55.533","286210"
"55","57.983","286370"
"55.3","61.533","286420"
"55.233","63.317","286550"
"55.467","65.4","286610"
"55.25","67.3","286660"
"54.833","69.15","286790"
"54.9","71.25","286880"
"55.033","74.583","286960"
"55.017","73.383","286980"
"54.583","52.8","287110"
"54.717","55.833","287220"
"54.083","61.617","287480"
"54.467","64.867","287560"
"54.367","66.967","287660"
"54.433","70.917","287850"
"53.733","91.383","287854"
"54.367","71.75","287860"
"54.633","72.433","287910"
"54.2","72.967","287970"
"54.2","73.55","287980"
"54.167","74.8","287990"
"53.25","50.45","288070"
"53.583","56","288250"
"53.35","59.083","288380"
"53.317","65.55","288670"
"53.317","68.1","288770"
"53.283","69.383","288790"
"53.783","73.883","288950"
"53.25","50.45","289000"
"52.817","52.217","289090"
"52.95","55.967","289250"
"53.217","63.617","289520"
"52.683","62.6","289570"
"52.533","68.75","289780"
"52.95","70.217","289840"
"59.85","81.95","290230"
"59.067","76.733","291030"
"59.217","78.233","291110"
"59.05","80.95","291220"
"58.7","81.5","291280"
"58.633","86.717","291490"
"58.45","76.417","292030"
"57.783","77.283","292090"
"58.317","82.95","292310"
"58.383","84.6","292410"
"57.75","85.2","292470"
"58.45","92.15","292630"
"58.083","93","292740"
"58.383","97.45","292820"
"57.533","79.367","293130"
"57.083","81.917","293280"
"57.583","83.783","293320"
"57.067","86.217","293480"
"57.45","88.467","293550"
"57.367","89.317","293560"
"57.633","92.267","293630"
"57.133","90.7","293670"
"56.95","75.3","294010"
"56.6","76.567","294050"
"56.35","78.35","294180"
"56.5","84.917","294300"
"56.533","89.317","294560"
"56.283","90.5","294670"
"56.9","93.133","294710"
"56.5","93.283","294770"
"56.85","95.217","294810"
"56.767","96.8","294830"
"55.85","80.033","295240"
"56.25","84","295320"
"55.983","82.7","295340"
"55.667","84.4","295390"
"56.117","86","295400"
"56.067","85.617","295410"
"56.217","87.75","295510"
"56.233","89.583","295530"
"55.75","88.317","295570"
"56.1","91.667","295620"
"55.783","90.133","295670"
"56.033","92.75","295700"
"56","92.883","295740"
"55.8","94.333","295760"
"55.717","93.733","295780"
"56.2","95.633","295810"
"56.117","97.317","295830"
"55.95","98","295940"
"55.283","76.6","296020"
"55.2","75.967","296050"
"55.333","78.367","296120"
"55.3","79.617","296130"
"55.1","80.967","296250"
"55.033","82.183","296260"
"55.3","82.75","296310"
"55.083","82.9","296340"
"55.233","84.4","296360"
"54.9","82.95","296380"
"55.233","86.117","296420"
"55.3","89.817","296530"
"55.217","87.65","296540"
"55.25","94.883","296760"
"54.883","99.033","296980"
"54.667","75.1","297010"
"54.367","77.283","297060"
"54.7","78.667","297120"
"54.667","81.05","297220"
"54.3","80.5","297240"
"54.367","81.95","297260"
"54.3","83.383","297350"
"54.333","84.217","297360"
"54.333","86","297450"
"54.5","89.933","297560"
"54.367","92.133","297660"
"53.35","75.45","298070"
"53.967","79.233","298130"
"53.7","78.067","298140"
"53.817","81.267","298220"
"53.267","80.767","298270"
"53.4","82.6","298370"
"53.433","83.517","298380"
"53.817","86.883","298460"
"53.467","85.917","298480"
"53.683","88.05","298540"
"53.717","90.367","298640"
"53.75","91.4","298650"
"53.3","92.417","298690"
"53.883","92.667","298700"
"53.95","98.817","298920"
"52.967","78.65","299150"
"53.067","82.3","299230"
"52.833","80.95","299250"
"52.517","82.767","299370"
"52.683","84.95","299390"
"52.8","89.917","299560"
"52.883","93.017","299740"
"52.5","99.817","299990"
"59.283","106.167","300280"
"59.45","112.583","300540"
"59.9","117.583","300740"
"58.2","102.75","301170"
"58.317","112.867","301570"
"56.283","101.75","303090"
"56.867","105.7","303200"
"56.9","118.267","303720"
"56.833","124.867","303930"
"55.383","101.033","304050"
"55.783","109.55","304330"
"55.117","109.75","304390"
"55.967","124.883","304930"
"55.183","124.667","304990"
"54.6","100.633","305040"
"54.183","100.083","305070"
"54.35","109.517","305360"
"54.467","113.583","305540"
"53.933","102.05","306030"
"54","103.067","306120"
"53.167","103.083","306170"
"53.133","103.767","306180"
"53.1","105.533","306270"
"53.417","109.017","306350"
"53.617","109.633","306360"
"53.2","107.333","306370"
"53.067","117.483","306690"
"53.967","121.933","306830"
"53.467","122.4","306860"
"54","123.967","306920"
"53.467","123.9","306950"
"52.967","101.983","307030"
"52.267","104.317","307100"
"52.817","104.767","307130"
"52.567","107.133","307260"
"52.033","105.4","307270"
"52.05","106.65","307290"
"52.983","108.283","307310"
"52.167","109.783","307390"
"52.767","109.967","307410"
"52.533","111.55","307450"
"52.083","113.483","307580"
"52.233","117.7","307770"
"52.267","104.4","307910"
"51.683","100.983","308020"
"51.65","103.667","308120"
"51.733","103.7","308140"
"51.167","103.667","308180"
"51.717","105.85","308220"
"51.833","107.6","308230"
"51.567","105.117","308240"
"51.1","106.65","308290"
"51.317","108.867","308380"
"51.733","112","308430"
"51.35","110.467","308440"
"51.35","112.467","308460"
"51.05","111.767","308490"
"51.2","113.717","308580"
"51.1","114.517","308590"
"51.867","116.033","308620"
"51.317","119.617","308790"
"50.517","104.833","309160"
"50.633","105.317","309240"
"50.267","113.267","309570"
"50.95","115.583","309610"
"50.4","116.517","309650"
"49.9","115.75","309670"
"49.733","117.267","309690"
"50.917","117.933","309710"
"50.4","119.067","309750"
"49.833","118.383","309780"
"58.617","125.367","310040"
"58.95","126.3","310050"
"59.4","144.8","310860"
"58.8","141.667","310870"
"59.367","143.2","310880"
"59.667","150.133","310930"
"59.567","149.117","310960"
"59.183","146.333","310970"
"57.667","136.15","311520"
"57.767","140.183","311630"
"56.45","138.15","311680"
"55.65","136.75","311730"
"54.833","137.533","311740"
"55.483","134.333","312350"
"54.717","128.933","312530"
"54.333","127.633","312570"
"54.733","130.449","312630"
"54.533","134.417","312850"
"54.717","135.317","312860"
"53.467","125.817","312950"
"53.7","127.3","313000"
"53.967","129.067","313110"
"53.067","132.983","313290"
"53.85","136.867","313460"
"53.05","136.033","313480"
"54.283","139.783","313620"
"53.15","140.7","313690"
"52.783","126","313710"
"52.35","129.917","313880"
"52.417","136.5","314160"
"52.283","135.8","314180"
"52.167","139.067","314370"
"52.383","140.467","314390"
"51.983","127.65","314420"
"51.45","128.116","314450"
"52.267","133.983","314780"
"51.417","135.083","314840"
"51.2","136.8","314890"
"51.35","139.1","315040"
"50.25","127.567","315100"
"50.917","128.467","315130"
"50.783","129.333","315210"
"50.117","129.467","315270"
"50.6","137.033","315610"
"50.933","138.2","315620"
"50.733","140.433","315730"
"49.617","128.65","315870"
"49.417","130.083","315940"
"49.4","133.233","316240"
"49.933","134.633","316320"
"49.9","136.15","316510"
"49.45","136.567","316550"
"49.017","138.75","316770"
"49","131.083","317020"
"48.517","130.733","317050"
"47.733","130.967","317070"
"47.95","132.617","317100"
"48.733","132.95","317130"
"48.617","133.833","317250"
"48.517","135.167","317350"
"48.967","140.3","317700"
"47.55","134.817","317860"
"47.967","139.533","318230"
"47.6","138.4","318250"
"47.317","138.983","318290"
"46.8","134.267","318320"
"46.533","135.317","318450"
"46.533","138.333","318660"
"46.033","137.883","318690"
"45.867","133.733","318730"
"45.083","133.533","318780"
"45.883","134.967","318830"
"45.267","135.5","318950"
"45","136.6","319090"
"45.217","131.983","319130"
"44.4","131.383","319150"
"44.033","131.317","319170"
"44.717","132.067","319210"
"44.15","133.867","319390"
"44.75","134.467","319420"
"44.7","134.7","319430"
"44.367","135.85","319590"
"43.117","131.933","319600"
"42.65","130.8","319690"
"43.967","133.067","319810"
"69.3","87.317","319811"
"43.15","133.017","319870"
"42.9","133.9","319890"
"43.983","134.683","319930"
"53.25","141.917","320040"
"53.567","142.933","320100"
"54.417","142.717","320120"
"53.567","142.75","320130"
"52.217","141.633","320270"
"52.367","143.183","320360"
"51.917","143.133","320530"
"51.1","143.55","320590"
"50.9","142.167","320610"
"50.05","142.167","320690"
"50.4","143.767","320760"
"49.067","142.033","320880"
"49.217","143.1","320980"
"48.65","144.733","320990"
"47.983","142.2","321210"
"47.05","142.05","321280"
"47.333","142.8","321330"
"46.667","141.867","321450"
"46.95","142.717","321500"
"46.633","142.85","321560"
"46.217","143.45","321580"
"44.017","145.867","321650"
"45.233","147.883","321740"
"46.2","150.5","321860"
"46.85","151.867","321950"
"48.067","153.217","322070"
"50.867","156.667","322130"
"50.683","156.133","322150"
"50.017","155.4","322170"
"58.5","159.167","322520"
"57.167","156.6","322850"
"57.083","156.7","322870"
"57.717","163.317","323330"
"55.933","158.717","323630"
"56.317","160.833","323890"
"56.217","162.467","324080"
"56.167","163.317","324090"
"55.583","155.583","324110"
"54.3","155.933","324770"
"54.117","159.983","325090"
"54.6","161.167","325190"
"59.15","68.917","325240"
"53.083","158.583","325400"
"53.1","160.033","325590"
"52.667","156.233","325640"
"52.933","157.15","325710"
"52.983","158.65","325830"
"52.367","158.567","325860"
"51.483","156.483","325940"
"51.783","158.033","325960"
"59.15","68.917","326110"
"55.2","165.983","326180"
"48.417","39.367","330001"
"48.067","37.733","330002"
"48.033","33.2","330003"
"48.533","34.667","330004"
"48.883","24.683","330005"
"52.117","23.683","330080"
"52.117","26.117","330190"
"52.217","27.867","330270"
"51.95","29.167","330360"
"52.4","30.95","330410"
"52.183","32.583","330490"
"51.283","26.617","330880"
"51.467","31.25","331350"
"50.833","24.317","331770"
"51.05","31.9","332460"
"51.233","33.2","332610"
"50.85","34.667","332750"
"50.583","26.133","333010"
"48.633","22.267","333011"
"47.05","31.917","333012"
"50.167","27.033","333170"
"50.233","28.733","333250"
"50.4","30.567","333450"
"50.6","30.2","333451"
"50.35","30.917","333460"
"50.333","30.967","333470"
"50.217","31.8","333560"
"50","33.017","333770"
"49.817","23.95","333930"
"48.25","25.983","333931"
"49.533","25.667","334150"
"49.433","26.983","334290"
"49.667","31","334660"
"49.6","34.55","335060"
"48.967","24.7","335260"
"49.233","28.6","335620"
"48.767","30.233","335870"
"49.05","33.25","336140"
"49.033","33.433","336150"
"49.15","34.2","336210"
"48.633","22.267","336310"
"48.367","25.9","336580"
"48.45","27.783","336630"
"48.517","32.2","337110"
"47.783","27.95","337450"
"47.85","30.267","337610"
"47.567","31.333","337770"
"48.033","33.217","337910"
"47.017","28.983","338150"
"46.433","30.767","338370"
"46.917","28.933","338387"
"46.783","33.367","338690"
"46.3","28.633","338830"
"45.367","28.85","338890"
"46.633","32.567","339020"
"46.167","34.817","339100"
"45.517","32.7","339240"
"44.683","34.133","339460"
"45.033","35.383","339760"
"45.4","36.417","339830"
"44.483","34.167","339900"
"51.767","36.167","340090"
"51.833","41.483","340470"
"51.3","37.883","341160"
"51.65","39.25","341220"
"51.7","39.217","341230"
"51.55","43.15","341520"
"51.567","46.033","341720"
"51.367","48.3","341860"
"50.8","42","342400"
"50.417","41.05","342470"
"50.833","44.567","342620"
"49.967","36.133","343000"
"50.2","35.533","343020"
"50.217","38.1","343210"
"49.933","40.567","343360"
"49.567","42.75","343570"
"50.067","45.367","343630"
"50.15","48.55","343910"
"49.667","49.483","343980"
"49.183","37.3","344150"
"48.95","49.6","344990"
"48.6","34.967","345040"
"48.067","37.767","345190"
"48.567","39.25","345230"
"48.35","41.867","345450"
"48.783","44.367","345600"
"48.217","46.733","345790"
"48.767","47.433","345810"
"47.8","35.017","346010"
"47.267","35.333","346070"
"47.333","36.333","346090"
"47.633","43.15","346550"
"47.9","48.8","346910"
"47.033","37.5","347120"
"46.75","36.783","347170"
"47.267","39.817","347300"
"47.25","39.817","347310"
"46.55","41.05","347470"
"46.567","43.667","347590"
"46.6","49.267","347980"
"46.033","38.15","348240"
"45.85","40.083","348380"
"45.917","43.35","348580"
"46.367","44.333","348610"
"46.183","45.35","348660"
"46.283","48.05","348800"
"45.033","39.15","349290"
"45.117","42.083","349490"
"45.35","42.85","349540"
"52.217","57.4","350260"
"51.867","58.183","350370"
"52.3","61.317","350420"
"52.467","64.667","350530"
"51.883","66.333","350670"
"51.817","68.367","350780"
"52","70.95","350850"
"51.25","51.283","351080"
"51.683","55.1","351210"
"51.267","67.233","351660"
"51.617","69.8","351730"
"51.133","71.367","351880"
"51.633","73.167","351910"
"50.25","52.567","352170"
"50.283","57.15","352290"
"50.2","51.167","353020"
"50.133","55.7","353210"
"49.983","61.483","353450"
